Time,Quadrant Number,Ball Colour,Type
3.3666666666666667,3,Color_2,Entry
3.3666666666666667,3,Color_3,Entry
3.3666666666666667,4,Color_4,Entry
3.3666666666666667,4,Color_2,Exit
3.3666666666666667,2,Color_3,Exit
3.3666666666666667,3,Color_4,Exit
3.4,4,Color_2,Entry
3.4,2,Color_4,Entry
3.4,3,Color_2,Exit
3.4,4,Color_4,Exit
3.433333333333333,3,Color_2,Entry
3.433333333333333,4,Color_3,Entry
3.433333333333333,4,Color_2,Exit
3.433333333333333,3,Color_3,Exit
3.466666666666667,4,Color_2,Entry
3.466666666666667,3,Color_3,Entry
3.466666666666667,3,Color_4,Entry
3.466666666666667,3,Color_2,Exit
3.466666666666667,4,Color_3,Exit
3.466666666666667,2,Color_4,Exit
3.5,2,Color_3,Entry
3.5,3,Color_3,Exit
3.566666666666667,3,Color_1,Entry
3.566666666666667,3,Color_3,Entry
3.566666666666667,4,Color_4,Entry
3.566666666666667,4,Color_1,Exit
3.566666666666667,2,Color_3,Exit
3.566666666666667,3,Color_4,Exit
3.6,4,Color_3,Entry
3.6,3,Color_3,Exit
3.6,4,Color_4,Exit
3.6333333333333333,4,Color_1,Entry
3.6333333333333333,3,Color_2,Entry
3.6333333333333333,3,Color_4,Entry
3.6333333333333333,3,Color_1,Exit
3.6333333333333333,4,Color_2,Exit
3.6666666666666665,3,Color_1,Entry
3.6666666666666665,4,Color_2,Entry
3.6666666666666665,4,Color_1,Exit
3.6666666666666665,3,Color_2,Exit
3.7,4,Color_4,Entry
3.7,4,Color_2,Exit
3.7,3,Color_4,Exit
3.7333333333333334,4,Color_1,Entry
3.7333333333333334,4,Color_2,Entry
3.7333333333333334,3,Color_4,Entry
3.7333333333333334,3,Color_1,Exit
3.7333333333333334,4,Color_3,Exit
3.7333333333333334,4,Color_4,Exit
3.7666666666666666,3,Color_3,Entry
3.8,2,Color_2,Entry
3.8,4,Color_3,Entry
3.8,4,Color_2,Exit
3.8,3,Color_3,Exit
3.8666666666666667,3,Color_2,Entry
3.8666666666666667,3,Color_3,Entry
3.8666666666666667,4,Color_4,Entry
3.8666666666666667,2,Color_2,Exit
3.8666666666666667,4,Color_3,Exit
3.8666666666666667,3,Color_4,Exit
3.9,4,Color_2,Entry
3.9,2,Color_3,Entry
3.9,3,Color_4,Entry
3.9,3,Color_2,Exit
3.9,3,Color_3,Exit
3.9,4,Color_4,Exit
3.933333333333333,3,Color_3,Entry
3.933333333333333,2,Color_3,Exit
3.966666666666667,2,Color_2,Entry
3.966666666666667,4,Color_4,Entry
3.966666666666667,4,Color_2,Exit
3.966666666666667,3,Color_4,Exit
4.0,4,Color_3,Entry
4.0,3,Color_4,Entry
4.0,3,Color_3,Exit
4.0,4,Color_4,Exit
4.033333333333333,3,Color_1,Entry
4.033333333333333,4,Color_2,Entry
4.033333333333333,4,Color_4,Entry
4.033333333333333,4,Color_1,Exit
4.033333333333333,2,Color_2,Exit
4.033333333333333,4,Color_3,Exit
4.033333333333333,3,Color_4,Exit
4.066666666666666,4,Color_3,Entry
4.066666666666666,3,Color_4,Entry
4.066666666666666,4,Color_4,Exit
4.1,4,Color_1,Entry
4.1,3,Color_3,Entry
4.1,4,Color_4,Entry
4.1,3,Color_1,Exit
4.1,4,Color_2,Exit
4.1,4,Color_3,Exit
4.1,3,Color_4,Exit
4.133333333333334,4,Color_2,Entry
4.133333333333334,3,Color_4,Entry
4.133333333333334,4,Color_4,Exit
4.166666666666667,3,Color_2,Entry
4.166666666666667,4,Color_3,Entry
4.166666666666667,4,Color_2,Exit
4.166666666666667,3,Color_3,Exit
4.2,4,Color_2,Entry
4.2,3,Color_3,Entry
4.2,3,Color_2,Exit
4.2,4,Color_3,Exit
4.233333333333333,3,Color_1,Entry
4.233333333333333,2,Color_2,Entry
4.233333333333333,4,Color_3,Entry
4.233333333333333,4,Color_4,Entry
4.233333333333333,4,Color_1,Exit
4.233333333333333,4,Color_2,Exit
4.233333333333333,3,Color_3,Exit
4.233333333333333,3,Color_4,Exit
4.266666666666667,4,Color_1,Entry
4.266666666666667,3,Color_2,Entry
4.266666666666667,2,Color_3,Entry
4.266666666666667,3,Color_1,Exit
4.266666666666667,2,Color_2,Exit
4.266666666666667,4,Color_3,Exit
4.3,2,Color_2,Entry
4.3,4,Color_3,Entry
4.3,3,Color_4,Entry
4.3,3,Color_2,Exit
4.3,2,Color_3,Exit
4.3,4,Color_4,Exit
4.366666666666666,3,Color_2,Entry
4.366666666666666,2,Color_3,Entry
4.366666666666666,4,Color_4,Entry
4.366666666666666,2,Color_2,Exit
4.366666666666666,4,Color_3,Exit
4.366666666666666,3,Color_4,Exit
4.4,3,Color_4,Entry
4.4,4,Color_4,Exit
4.433333333333334,2,Color_2,Entry
4.433333333333334,3,Color_2,Exit
4.466666666666667,3,Color_2,Entry
4.466666666666667,1,Color_3,Entry
4.466666666666667,2,Color_2,Exit
4.466666666666667,2,Color_3,Exit
4.5,2,Color_2,Entry
4.5,3,Color_2,Exit
4.533333333333333,2,Color_1,Entry
4.533333333333333,4,Color_2,Entry
4.533333333333333,4,Color_4,Entry
4.533333333333333,4,Color_1,Exit
4.533333333333333,2,Color_2,Exit
4.533333333333333,3,Color_4,Exit
4.6,4,Color_1,Entry
4.6,2,Color_3,Entry
4.6,1,Color_4,Entry
4.6,2,Color_1,Exit
4.6,1,Color_3,Exit
4.6,4,Color_4,Exit
4.7,1,Color_2,Entry
4.7,4,Color_4,Entry
4.7,4,Color_2,Exit
4.7,1,Color_4,Exit
4.733333333333333,4,Color_2,Entry
4.733333333333333,1,Color_4,Entry
4.733333333333333,1,Color_2,Exit
4.733333333333333,4,Color_4,Exit
4.766666666666667,2,Color_1,Entry
4.766666666666667,4,Color_3,Entry
4.766666666666667,4,Color_1,Exit
4.766666666666667,2,Color_3,Exit
4.8,1,Color_1,Entry
4.8,2,Color_3,Entry
4.8,4,Color_4,Entry
4.8,2,Color_1,Exit
4.8,4,Color_3,Exit
4.8,1,Color_4,Exit
4.833333333333333,2,Color_1,Entry
4.833333333333333,4,Color_3,Entry
4.833333333333333,1,Color_4,Entry
4.833333333333333,1,Color_1,Exit
4.833333333333333,2,Color_3,Exit
4.833333333333333,4,Color_4,Exit
4.866666666666666,4,Color_1,Entry
4.866666666666666,2,Color_3,Entry
4.866666666666666,2,Color_1,Exit
4.866666666666666,4,Color_3,Exit
4.966666666666667,2,Color_1,Entry
4.966666666666667,1,Color_2,Entry
4.966666666666667,4,Color_3,Entry
4.966666666666667,4,Color_4,Entry
4.966666666666667,4,Color_1,Exit
4.966666666666667,4,Color_2,Exit
4.966666666666667,2,Color_3,Exit
4.966666666666667,1,Color_4,Exit
5.0,4,Color_1,Entry
5.0,2,Color_4,Entry
5.0,2,Color_1,Exit
5.0,4,Color_4,Exit
5.033333333333333,1,Color_1,Entry
5.033333333333333,2,Color_2,Entry
5.033333333333333,4,Color_4,Entry
5.033333333333333,4,Color_1,Exit
5.033333333333333,1,Color_2,Exit
5.033333333333333,2,Color_4,Exit
5.066666666666666,4,Color_1,Entry
5.066666666666666,1,Color_4,Entry
5.066666666666666,1,Color_1,Exit
5.066666666666666,4,Color_4,Exit
5.1,4,Color_2,Entry
5.1,2,Color_3,Entry
5.1,2,Color_2,Exit
5.1,4,Color_3,Exit
5.133333333333334,2,Color_1,Entry
5.133333333333334,1,Color_2,Entry
5.133333333333334,4,Color_3,Entry
5.133333333333334,4,Color_4,Entry
5.133333333333334,4,Color_1,Exit
5.133333333333334,4,Color_2,Exit
5.133333333333334,2,Color_3,Exit
5.133333333333334,1,Color_4,Exit
5.166666666666667,1,Color_1,Entry
5.166666666666667,2,Color_2,Entry
5.166666666666667,2,Color_1,Exit
5.166666666666667,1,Color_2,Exit
5.2,4,Color_1,Entry
5.2,4,Color_2,Entry
5.2,2,Color_3,Entry
5.2,1,Color_4,Entry
5.2,1,Color_1,Exit
5.2,2,Color_2,Exit
5.2,4,Color_3,Exit
5.2,4,Color_4,Exit
5.233333333333333,2,Color_2,Entry
5.233333333333333,1,Color_3,Entry
5.233333333333333,4,Color_4,Entry
5.233333333333333,4,Color_2,Exit
5.233333333333333,2,Color_3,Exit
5.233333333333333,1,Color_4,Exit
5.266666666666667,2,Color_1,Entry
5.266666666666667,4,Color_2,Entry
5.266666666666667,4,Color_3,Entry
5.266666666666667,1,Color_4,Entry
5.266666666666667,4,Color_1,Exit
5.266666666666667,2,Color_2,Exit
5.266666666666667,1,Color_3,Exit
5.266666666666667,4,Color_4,Exit
5.3,4,Color_1,Entry
5.3,2,Color_3,Entry
